setid,"Temperature, K","Pressure, kPa","MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg",Solvent: Mole fraction of choline chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eWWds,303.15,87.1,0.0992,0.5,1202,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,303.15,87.1,0.1254,0.5,1202,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,303.15,87.1,0.1608,0.5,1202,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,303.15,87.1,0.204,0.5,1202,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0,0.5,1197,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.0424,0.5,1198,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.0706,0.5,1198,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.0992,0.5,1198,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.1254,0.5,1199,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.1608,0.5,1199,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,308.15,87.1,0.204,0.5,1199,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0,0.5,1194,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.0424,0.5,1195,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.0706,0.5,1195,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.0992,0.5,1195,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.1254,0.5,1195,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.1608,0.5,1195,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,313.15,87.1,0.204,0.5,1196,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0,0.5,1191,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.0424,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.0706,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.0992,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.1254,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.1608,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
eWWds,318.15,87.1,0.204,0.5,1192,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARQxQ,O=C(O)C(=O)O,ethanedioic acid
