setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bHSbS,298.15,0.1206,0.7707,100,1253.1,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.1397,0.754,100,1248.5,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.1528,0.7386,100,1245.5,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.1661,0.723,100,1242.6,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.1882,0.6971,100,1238.2,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.1995,0.6838,100,1236,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.2111,0.6703,100,1233.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.2373,0.6404,100,1229.5,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.2592,0.6131,100,1226,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.2765,0.5936,100,1223.7,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.2986,0.5703,100,1220.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.3201,0.5466,100,1218.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.3367,0.5263,100,1216.5,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.3579,0.503,100,1214.6,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.3768,0.4817,100,1212.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.398,0.4595,100,1211.3,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.4203,0.4358,100,1209.7,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.4435,0.4154,100,1208.7,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.4555,0.4036,100,1208.2,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.4676,0.3916,100,1207.6,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.4924,0.3689,100,1206.8,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.5071,0.3559,100,1206.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.5214,0.3432,100,1206,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.5458,0.3199,100,1205.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.5741,0.2939,100,1204.7,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.5967,0.2731,100,1204.2,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.6255,0.2468,100,1203.6,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.6605,0.2187,100,1202.8,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.6869,0.1946,100,1201.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.7082,0.1754,100,1201.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.7296,0.1567,100,1200.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,298.15,0.7525,0.1371,100,1199.4,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,303.15,0.1206,0.7707,100,1250.8,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,303.15,0.1397,0.754,100,1245.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,303.15,0.1528,0.7386,100,1242.9,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
bHSbS,303.15,0.1661,0.723,100,1240,Gupta et al. (2017a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
