setid,"MolaLity of L-valine, mol/kg","Temperature, K","Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yjzjq,0,288.15,0.005,100,999.3,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,288.15,0.02,100,999.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,288.15,0.04,100,1000.4,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,288.15,0.06,100,1001.2,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,293.15,0.005,100,998.4,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,293.15,0.02,100,998.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,293.15,0.04,100,999.4,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,293.15,0.06,100,1000,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,298.15,0.005,100,997.2,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,298.15,0.02,100,997.6,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,298.15,0.04,100,998.2,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,298.15,0.06,100,998.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,303.15,0.005,100,995.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,303.15,0.02,100,996.2,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,303.15,0.04,100,996.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,303.15,0.06,100,997.4,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,308.15,0.005,100,994.2,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,308.15,0.02,100,994.6,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,308.15,0.04,100,995.1,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0,308.15,0.06,100,995.6,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0098,288.15,0.04,100,1000.7,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0098,293.15,0.04,100,999.7,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0098,298.15,0.04,100,998.5,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0098,303.15,0.04,100,997.1,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0098,308.15,0.04,100,995.4,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.01,288.15,0.02,100,1000.1,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.01,293.15,0.02,100,999.1,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.01,298.15,0.02,100,997.9,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.01,303.15,0.02,100,996.5,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.01,308.15,0.02,100,994.8,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0101,288.15,0.005,100,999.6,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0101,293.15,0.005,100,998.6,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0101,298.15,0.005,100,997.5,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0101,303.15,0.005,100,996.1,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
yjzjq,0.0101,308.15,0.005,100,994.5,Kumar et al. (2021a),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
