setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NiVPM,323.15,0.05,101.3,899.4,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.08,101.3,903.7,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.1199,101.3,909.5,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.201,101.3,920.3,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.2504,101.3,926.7,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.2999,101.3,932.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.3488,101.3,938.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.3952,101.3,944.3,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.448,101.3,950.6,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,323.15,0.4996,101.3,956.4,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0,101.3,886.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.02,101.3,889.8,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.0403,101.3,892.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.05,101.3,894.4,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.08,101.3,898.7,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.1199,101.3,904.4,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.201,101.3,915.2,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.2504,101.3,921.6,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.2999,101.3,927.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.3488,101.3,933.9,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.3952,101.3,939.3,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.448,101.3,945.6,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
NiVPM,328.15,0.4996,101.3,951.4,Wang et al. (2022b),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
