setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-tetradecanaminium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yCRKZ,293.15,0.2008,100,991.2,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0,100,997,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0102,100,996.7,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0157,100,996.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0218,100,996.2,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0305,100,995.9,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0432,100,995.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0567,100,995,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0671,100,994.6,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0711,100,994.4,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.0963,100,993.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.1006,100,993.4,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.1208,100,992.6,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.1492,100,991.6,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.1631,100,991.1,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.1847,100,990.3,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,298.15,0.2008,100,989.8,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0,100,995.6,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0102,100,995.3,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0157,100,995.1,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0218,100,994.8,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0305,100,994.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0432,100,994,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0567,100,993.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0671,100,993.1,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0711,100,993,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.0963,100,992,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.1006,100,991.9,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.1208,100,991.1,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.1492,100,990,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.1631,100,989.5,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.1847,100,988.7,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
yCRKZ,303.15,0.2008,100,988.2,Shaikh et al. (2021),Density,Liquid,ABEHOj,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-tetradecanaminium chloride",AADYJk,O,water,,,
