setid,"Temperature, K",Mole fraction of aluminum chloride,Mole fraction of 1-ethyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XXSOP,368.15,0.55,0.45,101,1262.4,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.57,0.38,101,1300.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.5896,0.2997,101,1347.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.594,0.396,101,1290.4,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.6,0.4,101,1287.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.6616,0.3284,101,1329.1,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,368.15,0.6667,0.3333,101,1324.3,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.5,0.25,101,1390.3,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.5,0.5,101,1232.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.523,0.427,101,1267,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.546,0.364,101,1302.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.55,0.45,101,1254,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.57,0.38,101,1291.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.5896,0.2997,101,1338.4,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.594,0.396,101,1281.6,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.6,0.4,101,1279.4,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.6616,0.3284,101,1319.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
XXSOP,378.15,0.6667,0.3333,101,1314.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AALMbY,[Cl-].[Na+],sodium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
