setid,"Temperature, K","MolaLity of diethylammonium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SRKOS,298.15,0.2908,94.4,998.7,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,298.15,0.335,94.4,999,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,298.15,0.3927,94.4,999.3,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,298.15,0.437,94.4,999.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,298.15,0.5305,94.4,1000.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0,94.4,995.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.0395,94.4,995.9,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.0594,94.4,996,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.0777,94.4,996.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.0988,94.4,996.2,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.1277,94.4,996.4,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.151,94.4,996.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.1675,94.4,996.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.191,94.4,996.7,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.2362,94.4,997,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.2908,94.4,997.3,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.335,94.4,997.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.3927,94.4,997.9,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.437,94.4,998.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,303.15,0.5305,94.4,998.7,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0,94.4,994,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.0395,94.4,994.3,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.0594,94.4,994.4,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.0777,94.4,994.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.0988,94.4,994.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.1277,94.4,994.8,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.151,94.4,994.9,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.1675,94.4,995,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.191,94.4,995.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.2362,94.4,995.4,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.2908,94.4,995.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.335,94.4,995.9,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.3927,94.4,996.2,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.437,94.4,996.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,308.15,0.5305,94.4,997,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0,94.4,992.2,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.0395,94.4,992.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.0594,94.4,992.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.0777,94.4,992.7,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.0988,94.4,992.8,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.1277,94.4,992.9,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.151,94.4,993.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.1675,94.4,993.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.191,94.4,993.3,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.2362,94.4,993.5,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.2908,94.4,993.8,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.335,94.4,994,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.3927,94.4,994.4,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.437,94.4,994.6,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
SRKOS,313.15,0.5305,94.4,995.1,Musale et al. (2018),Density,Liquid,AAZfWi,CC(=O)[O-].CC[NH2+]CC,diethylammonium acetate,AADYJk,O,water,,,
