setid,"MolaLity of 1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vpQdd,0.0993,298.15,101,1009.54,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
vpQdd,0.1398,298.15,101,1014.42,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
vpQdd,0.1597,298.15,101,1016.78,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
vpQdd,0.194,298.15,101,1020.81,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
vpQdd,0.2187,298.15,101,1023.65,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
vpQdd,0.2485,298.15,101,1027.04,Chen et al. (2015a),Density,Liquid,AADYJk,O,water,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",,,
