setid,"Temperature, K","MolaRity of 1-dodecyl-3-methylimidazolium chloride, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MFqCn,293.2,1e-05,101,998.23,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.0001,101,998.23,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.00025,101,998.24,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.0005,101,998.35,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.001,101,998.38,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.0025,101,998.41,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.005,101,998.67,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,293.2,0.01,101,998.8,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,1e-05,101,997.06,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.0001,101,997.07,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.00025,101,997.09,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.0005,101,997.16,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.001,101,997.2,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.0025,101,997.25,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.005,101,997.51,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,298.2,0.01,101,997.67,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,1e-05,101,995.64,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.0001,101,995.64,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.00025,101,995.73,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.0005,101,995.79,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.001,101,995.87,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.0025,101,996.14,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.005,101,996.29,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,303.2,0.01,101,996.41,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,1e-05,101,994.04,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.0001,101,994.05,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.00025,101,994.15,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.0005,101,994.2,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.001,101,994.28,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.0025,101,994.56,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.005,101,994.76,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,308.2,0.01,101,994.9,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,1e-05,101,992.14,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,0.0001,101,992.29,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,0.00025,101,992.41,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,0.0005,101,992.68,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,0.001,101,992.86,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
MFqCn,313.2,0.0025,101,993,Saien and Kharazi (2016),Density,Liquid mixture 1,Liquid mixture 2,,48,AAWRvN,CCCCOC(C)=O,butyl ethanoate,AADYJk,O,water
