setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of (S)-2-aminopropanoic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VWWmG,293.15,0.02056,86,0.7,1017.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,293.15,0.02977,86,0.7,1018.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,293.15,0.03682,86,0.7,1018.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,293.15,0.06906,86,0.7,1019,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0,86,0.7,1016,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.00164,86,0.7,1016.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.00277,86,0.7,1016.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.00403,86,0.7,1016.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.00566,86,0.7,1016.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.0065,86,0.7,1016.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.00839,86,0.7,1016.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.01051,86,0.7,1016.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.01193,86,0.7,1016.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.01514,86,0.7,1016.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.02056,86,0.7,1016.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.02977,86,0.7,1016.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.03682,86,0.7,1016.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,298.15,0.06906,86,0.7,1017.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0,86,0.7,1014.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.00164,86,0.7,1014.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.00277,86,0.7,1014.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.00403,86,0.7,1014.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.00566,86,0.7,1014.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.0065,86,0.7,1014.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.00839,86,0.7,1014.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.01051,86,0.7,1014.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.01193,86,0.7,1014.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.01514,86,0.7,1014.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.02056,86,0.7,1015,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.02977,86,0.7,1015.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.03682,86,0.7,1015.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,303.15,0.06906,86,0.7,1016,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0,86,0.7,1012.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.00164,86,0.7,1012.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.00277,86,0.7,1012.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.00403,86,0.7,1012.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.00566,86,0.7,1012.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.0065,86,0.7,1013,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.00839,86,0.7,1013,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.01051,86,0.7,1013.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.01193,86,0.7,1013.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.01514,86,0.7,1013.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.02056,86,0.7,1013.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.02977,86,0.7,1013.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.03682,86,0.7,1013.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
VWWmG,308.15,0.06906,86,0.7,1014.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
