setid,"Temperature, K",Mole fraction of 3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PJfeG,278.15,0.85508,101,1274,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,278.15,0.90059,101,1275.3,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,278.15,1,101,1278,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0,101,999.12,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.04992,101,1114.86,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.1001,101,1164.38,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.14982,101,1192.37,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.19984,101,1210.13,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.30128,101,1231.45,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.40123,101,1243.63,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.49597,101,1251.19,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.60165,101,1257.22,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.70071,101,1261.36,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.85508,101,1266.2,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
PJfeG,288.15,0.90059,101,1267.4,Vercher et al. (2012),Density,Liquid,AADYJk,O,water,ABGHfb,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,3-butyl-1-ethyl-1H-imidazolium trifluoromethanesulfonate (1:1),,,
