setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of 2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hczyx,0,0.01,313.15,100,992.137,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.01,318.15,100,990.167,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,293.15,100,998.921,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,298.15,100,997.492,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,303.15,100,996.039,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,308.15,100,994.482,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,313.15,100,992.469,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.02,318.15,100,990.5,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,293.15,100,999.268,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,298.15,100,997.833,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,303.15,100,996.374,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,308.15,100,994.81,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,313.15,100,992.791,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.03,318.15,100,990.812,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,293.15,100,999.604,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,298.15,100,998.164,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,303.15,100,996.698,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,308.15,100,995.128,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,313.15,100,993.104,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.04,318.15,100,991.12,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,293.15,100,999.931,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,298.15,100,998.485,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,303.15,100,997.011,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,308.15,100,995.436,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,313.15,100,993.405,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.05,318.15,100,991.418,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,293.15,100,1000.25,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,298.15,100,998.794,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,303.15,100,997.314,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,308.15,100,995.733,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,313.15,100,993.696,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.06,318.15,100,991.705,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,293.15,100,1000.55,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,298.15,100,999.088,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,303.15,100,997.606,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,308.15,100,996.015,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,313.15,100,993.968,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.07,318.15,100,991.981,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,293.15,100,1000.84,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,298.15,100,999.367,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,303.15,100,997.879,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,308.15,100,996.285,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,313.15,100,994.232,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.08,318.15,100,992.245,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,293.15,100,1001.11,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,298.15,100,999.628,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,303.15,100,998.137,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,308.15,100,996.539,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,313.15,100,994.481,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.09,318.15,100,992.489,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,293.15,100,1001.37,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,298.15,100,999.878,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,303.15,100,998.378,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,308.15,100,996.783,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,313.15,100,994.715,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0,0.1,318.15,100,992.721,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,293.15,100,998.934,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,298.15,100,997.766,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,303.15,100,996.365,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,308.15,100,994.747,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,313.15,100,992.902,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0,318.15,100,990.883,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0.01,293.15,100,999.253,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0.01,298.15,100,998.078,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0.01,303.15,100,996.671,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
hczyx,0.01,0.01,308.15,100,995.046,Singh et al. (2023b),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
