setid,"Solvent: MolaRity of 3-carboxylpyridine, mol/dm3","Temperature, K","MolaRity of tetrabutylammonium hydrogen sulfate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WYDEX,0.01,308.15,0.0838,101,996.3,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,308.15,0.0997,101,996.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0199,101,991.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0357,101,991.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0516,101,992.1,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0676,101,992.5,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0835,101,992.9,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.01,318.15,0.0994,101,993.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.02,101,998.1,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.036,101,998.4,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.052,101,998.7,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.068,101,998.9,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.084,101,999.1,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,298.15,0.1,101,999.3,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.02,101,995.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.0359,101,995.5,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.0518,101,995.8,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.0678,101,996.1,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.0838,101,996.3,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,308.15,0.0997,101,996.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0199,101,991.4,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0357,101,991.8,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0516,101,992.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0676,101,992.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0835,101,992.9,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.015,318.15,0.0994,101,993.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.02,101,998.5,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.036,101,998.7,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.052,101,998.9,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.068,101,999.1,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.084,101,999.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,298.15,0.1,101,999.4,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.02,101,995.7,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.0359,101,996,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.0518,101,996.2,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.0678,101,996.4,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.0838,101,996.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,308.15,0.0997,101,996.8,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0199,101,991.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0358,101,992,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0517,101,992.3,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0676,101,992.6,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0834,101,993,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
WYDEX,0.02,318.15,0.0994,101,993.3,Sarkar and Sinha (2013),Density,Liquid,AAXjAf,O=C(O)c1cccnc1,3-carboxylpyridine,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
