setid,"Solvent: MolaLity of 1-octylpyridinium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UnZvh,0.03,0,278.15,100,1001.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0,283.15,100,1001.2,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0,288.15,100,1000.5,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0,293.15,100,999.6,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0,298.15,100,998.4,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0,303.15,100,996.9,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0.01,278.15,100,1001.7,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0.01,288.15,100,1000.8,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0.01,293.15,100,999.8,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
UnZvh,0.03,0.01,298.15,100,998.6,Yan et al. (2020),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABASUY,CCCCCCCC[n+]1ccccc1.[Br-],1-octylpyridinium bromide,AADYJk,O,water
