setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IfZlz,343.15,0.0499,100,1008,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.1055,100,1044,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.1515,100,1057,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.1944,100,1065,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.2487,100,1074,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.2966,100,1076,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.3896,100,1076,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.4844,100,1076,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.5796,100,1075,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.6809,100,1074,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.7657,100,1073,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.8622,100,1072,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,343.15,0.946,100,1071,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0,100,975,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.0499,100,1010,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.1055,100,1041,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.1515,100,1054,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.1944,100,1061,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.2487,100,1070,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.2966,100,1073,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.3896,100,1073,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.4844,100,1073,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.5796,100,1072,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.6809,100,1071,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.7657,100,1070,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.8622,100,1069,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
IfZlz,348.15,0.946,100,1068,Krolikowska et al. (2021c),Density,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water,,,
