setid,"Temperature, K","MolaLity of 1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZXrYf,298.15,0.04,101,0.06,1003.89,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,298.15,0.05269,101,0.06,1005.37,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,298.15,0.06506,101,0.06,1006.8,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,298.15,0.075,101,0.06,1007.92,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,298.15,0.08926,101,0.06,1009.51,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,298.15,0.10174,101,0.06,1010.84,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0,101,0.06,997.613,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.02791,101,0.06,1001.02,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.04,101,0.06,1002.45,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.05269,101,0.06,1003.92,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.06506,101,0.06,1005.34,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.075,101,0.06,1006.44,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.08926,101,0.06,1008.02,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,303.15,0.10174,101,0.06,1009.34,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0,101,0.06,995.985,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.02791,101,0.06,999.378,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.04,101,0.06,1000.81,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.05269,101,0.06,1002.27,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.06506,101,0.06,1003.68,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.075,101,0.06,1004.77,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.08926,101,0.06,1006.34,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,308.15,0.10174,101,0.06,1007.66,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0,101,0.06,994.125,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.02791,101,0.06,997.496,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.04,101,0.06,998.911,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.05269,101,0.06,1000.37,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.06506,101,0.06,1001.77,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.075,101,0.06,1002.86,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.08926,101,0.06,1004.41,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZXrYf,313.15,0.10174,101,0.06,1005.72,Kawadkar and Zodape (2019),Density,Liquid,ABXpAB,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(pentane-1,5-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
