setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lxvPE,293.15,0.08,0.1499,101,1005.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0,101,999.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.01503,101,1000.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.02995,101,1000.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.04446,101,1000.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.0596,101,1001.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.0745,101,1001.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.0891,101,1002,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.1043,101,1002.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.1194,101,1002.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.1341,101,1003.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.04,0.15,101,1003.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0,101,999.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.01485,101,999.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.02973,101,1000.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.04449,101,1000.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.0597,101,1000.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.074,101,1001.3,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.0894,101,1001.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.1044,101,1002.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.1193,101,1002.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.1344,101,1003,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,298.15,0.08,0.1499,101,1003.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0,101,996.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.01503,101,997.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.02995,101,997.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.04446,101,998,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.0596,101,998.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.0745,101,998.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.0891,101,999.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.1043,101,999.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.1194,101,1000,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.1341,101,1000.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.04,0.15,101,1000.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0,101,996.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.01485,101,996.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.02973,101,997.3,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.04449,101,997.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.0597,101,998.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.074,101,998.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.0894,101,998.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.1044,101,999.3,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.1193,101,999.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.1344,101,1000.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,303.15,0.08,0.1499,101,1000.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0,101,993.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.01503,101,994,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.02995,101,994.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.04446,101,994.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.0596,101,995.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.0745,101,995.5,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.0891,101,995.9,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.1043,101,996.3,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.1194,101,996.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.1341,101,997.2,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.04,0.15,101,997.6,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0,101,993.3,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0.01485,101,993.7,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0.02973,101,994,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0.04449,101,994.4,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0.0597,101,994.8,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
lxvPE,308.15,0.08,0.074,101,995.1,Yan et al. (2019),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
