setid,"Temperature, K","MolaLity of L-valine, mol/kg","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nZbry,298.15,0,0.0004,101,996.9,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0,0.0012,101,997.2,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.05,0.0004,101,998.3,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.05,0.0012,101,998.7,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.074,0.0012,101,999.3,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.075,0.0004,101,999,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.1,0.0004,101,999.6,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.1,0.0012,101,1000,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.125,0.0012,101,1000.7,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.126,0.0004,101,1000.3,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.15,0.0004,101,1000.9,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.15,0.0012,101,1001.3,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.175,0.0004,101,1001.5,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.175,0.0012,101,1001.9,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.2,0.0004,101,1002.1,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,298.15,0.2,0.0012,101,1002.5,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0,0.0004,101,995.4,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0,0.0012,101,995.6,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.05,0.0004,101,996.8,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.05,0.0012,101,997,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.074,0.0012,101,997.7,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.075,0.0004,101,997.4,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.1,0.0004,101,998.1,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.1,0.0012,101,998.4,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.125,0.0012,101,999,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.126,0.0004,101,998.7,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.15,0.0004,101,999.3,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.15,0.0012,101,999.6,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.175,0.0004,101,999.9,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.175,0.0012,101,1000.2,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.2,0.0004,101,1000.6,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,303.15,0.2,0.0012,101,1000.8,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0,0.0004,101,993.8,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0,0.0012,101,994,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.05,0.0004,101,995.2,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.05,0.0012,101,995.5,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.074,0.0012,101,996.1,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.075,0.0004,101,995.8,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.1,0.0004,101,996.5,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.1,0.0012,101,996.8,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.125,0.0012,101,997.4,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.126,0.0004,101,997.2,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
nZbry,308.15,0.15,0.0004,101,997.7,Ali et al. (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
