setid,"Temperature, K","Mole fraction of 1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aeexy,328.15,0.099,101.3,1146.3,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.1994,101.3,1230,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.298,101.3,1287.3,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.4006,101.3,1331.7,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.5003,101.3,1365.2,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.5738,101.3,1385.5,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.6927,101.3,1412.7,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.8138,101.3,1435.1,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,0.8951,101.3,1447.8,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
aeexy,328.15,1,101.3,1462.4,Mou et al. (2019),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
