setid,"Temperature, K","Mole fraction of methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZauWz,303.15,0.1291,101,994,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.2125,101,1031,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.35,101,1062,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.4172,101,1071,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.5362,101,1083,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.6529,101,1092,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.7084,101,1095,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.8522,101,1102,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,303.15,0.9345,101,1104,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.0781,101,940,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.1291,101,982,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.2125,101,1022,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.35,101,1055,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.4172,101,1064,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.5362,101,1076,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.6529,101,1085,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.7084,101,1088,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.8522,101,1095,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
ZauWz,313.15,0.9345,101,1097,Sibiya and Deenadayalu (2008),Density,Liquid,AAGIBL,CO,methanol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
