setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BCSGa,303.15,0.6974,101.3,1149.9,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,303.15,0.8012,101.3,1167.9,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,303.15,0.8948,101.3,1182.8,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,303.15,0.9496,101.3,1191,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,303.15,1,101.3,1197.5,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0,101.3,937.5,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.051,101.3,961.5,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.1986,101.3,1019,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.2998,101.3,1052.6,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
BCSGa,308.15,0.3995,101.3,1081.8,Ahmad et al. (2019),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AATreB,NCCNCCN,di(2-aminoethyl)amine,,,
