setid,"Temperature, K","Mole fraction of methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
weDZv,303.15,0.5433,0,101,1080.3,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.628,0.1057,101,1085.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.6561,0.1775,101,1085.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.6664,0.0527,101,1089,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.6693,0.2642,101,1085.4,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.7037,0,101,1091.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.7246,0.0925,101,1091,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.7993,0,101,1096.2,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.8087,0.1246,101,1094.1,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.8495,0.0617,101,1097.8,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,303.15,0.9209,0,101,1100.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.0263,0.7746,101,855,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.0328,0.7188,101,868,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.066,0.4347,101,924,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.0957,0.1808,101,957.3,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1058,0.5394,101,947.4,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1058,0.5394,101,947.4,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1102,0.056,101,977.05,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1167,0,101,974.9,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1295,0.7617,101,953.2,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1538,0.3299,101,983.6,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.1912,0.1637,101,1004.6,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.2024,0.1182,101,1011.6,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.2176,0.5993,101,1001.8,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.2291,0,101,1020.9,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.2512,0.4243,101,1017.9,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.332,0.5814,101,1029.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.3331,0.2457,101,1041.2,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.3614,0.335,101,1044.8,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.3657,0.1728,101,1048.7,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.4022,0.0901,101,1056.1,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.4124,0.4141,101,1049.3,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.4417,0,101,1062.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.4494,0.1701,101,1060.9,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.491,0.4715,101,1057.9,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.5288,0.3389,101,1065,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.5373,0.2396,101,1068.3,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.5433,0,101,1073.4,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.628,0.1057,101,1078.5,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.6561,0.1775,101,1079,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.6664,0.0527,101,1082.1,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.6693,0.2642,101,1078.8,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.7037,0,101,1085,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.7246,0.0925,101,1084.4,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.7993,0,101,1089.6,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.8087,0.1246,101,1087.3,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.8495,0.0617,101,1091.2,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
weDZv,313.15,0.9209,0,101,1094.1,Bahadur et al. (2012),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAQxSq,CCOC(C)=O,ethyl acetate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
