setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Solvent: MolaLity of 2-aminoacetic acid, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LVVOd,298.15,0.0224,84.5,0.7041,1018.2,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.037,84.5,0.7041,1018.3,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.0547,84.5,0.7041,1018.3,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.072,84.5,0.7041,1018.4,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.1075,84.5,0.7041,1018.6,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.1526,84.5,0.7041,1018.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.2056,84.5,0.7041,1019.1,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.3033,84.5,0.7041,1019.6,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.5376,84.5,0.7041,1020.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,298.15,0.847,84.5,0.7041,1022.4,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.0224,84.5,0.7041,1014.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.037,84.5,0.7041,1014.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.0547,84.5,0.7041,1014.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.072,84.5,0.7041,1015,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.1075,84.5,0.7041,1015.1,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.1526,84.5,0.7041,1015.3,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.2056,84.5,0.7041,1015.5,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.3033,84.5,0.7041,1015.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.5376,84.5,0.7041,1016.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,308.15,0.847,84.5,0.7041,1018,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.0224,84.5,0.7041,1010.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.037,84.5,0.7041,1010.8,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.0547,84.5,0.7041,1010.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.072,84.5,0.7041,1010.9,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.1075,84.5,0.7041,1011,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.1526,84.5,0.7041,1011.1,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.2056,84.5,0.7041,1011.3,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.3033,84.5,0.7041,1011.5,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.5376,84.5,0.7041,1012.2,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
LVVOd,318.15,0.847,84.5,0.7041,1013.1,Noshadi and Sadeghi (2017a),Density,Liquid,AADYJk,O,water,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
