setid,"Temperature, K","Pressure, kPa","MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg",Solvent: Mole fraction of choline chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gNLYl,303.15,87.1,0.1036,0.333,1115,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,303.15,87.1,0.1274,0.333,1116,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,303.15,87.1,0.1658,0.333,1117,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,303.15,87.1,0.212,0.333,1117,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0,0.333,1110,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.0416,0.333,1111,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.071,0.333,1112,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.1036,0.333,1113,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.1274,0.333,1113,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.1658,0.333,1114,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,308.15,87.1,0.212,0.333,1115,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0,0.333,1107,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.0416,0.333,1108,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.071,0.333,1109,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.1036,0.333,1110,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.1274,0.333,1110,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.1658,0.333,1111,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,313.15,87.1,0.212,0.333,1112,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0,0.333,1104,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.0416,0.333,1106,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.071,0.333,1106,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.1036,0.333,1107,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.1274,0.333,1107,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.1658,0.333,1108,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
gNLYl,318.15,87.1,0.212,0.333,1109,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALwIY,OCCO,"1,2-ethanediol"
