setid,Mole fraction of 2-ethoxy-2-methylpropane,Mole fraction of ethanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
srMtR,0,0,101,298.15,1238.8,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.1271,101,298.15,1220.7,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.1281,101,298.15,1220.6,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.2039,101,298.15,1208,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.2187,101,298.15,1205.3,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.3088,101,298.15,1187.7,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.3256,101,298.15,1184.1,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.3598,101,298.15,1176.3,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.4147,101,298.15,1162.6,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.4336,101,298.15,1157.7,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.4604,101,298.15,1150.1,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.5103,101,298.15,1134.8,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.5223,101,298.15,1131,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.5724,101,298.15,1113.2,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.5926,101,298.15,1105.5,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.5951,101,298.15,1104.5,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.712,101,298.15,1050.5,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.7174,101,298.15,1047.66,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.7508,101,298.15,1028.42,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.7676,101,298.15,1017.99,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.7866,101,298.15,1005.44,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
srMtR,0,0.806,101,298.15,992,Arce et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate
