setid,"Temperature, K",Mole fraction of water,Mole fraction of diethylmethylammonium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fsfQO,293.15,0.027,0,101,1294.1,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,293.15,0.05,0.233,101,1258.2,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,293.15,0.07,0.432,101,1224.8,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,293.15,0.089,0.602,101,1194.3,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,293.15,0.107,0.75,101,1164.7,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,293.15,0.114,0.817,101,1151.4,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,313.15,0.027,0,101,1277.4,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,313.15,0.05,0.233,101,1242.3,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,313.15,0.07,0.432,101,1209.5,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
fsfQO,313.15,0.089,0.602,101,1178.9,Merkel et al. (2014),Density,Liquid,AADYJk,O,water,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate
