setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of L-proline, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NwqXe,293.15,0.00494,86,0.7,1020.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.0061,86,0.7,1020.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.00843,86,0.7,1020.3,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.01039,86,0.7,1020.4,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.01406,86,0.7,1020.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.01777,86,0.7,1020.7,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.0252,86,0.7,1020.9,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.03509,86,0.7,1021.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.05013,86,0.7,1021.7,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.05962,86,0.7,1022.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,293.15,0.07685,86,0.7,1022.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0,86,0.7,1018.5,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.00254,86,0.7,1018.7,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.00494,86,0.7,1018.8,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.0061,86,0.7,1018.8,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.00843,86,0.7,1018.9,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.01039,86,0.7,1019,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.01406,86,0.7,1019.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.01777,86,0.7,1019.3,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.0252,86,0.7,1019.5,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.03509,86,0.7,1019.8,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.05013,86,0.7,1020.3,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.05962,86,0.7,1020.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,298.15,0.07685,86,0.7,1021.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0,86,0.7,1016.9,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.00254,86,0.7,1017,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.00494,86,0.7,1017.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.0061,86,0.7,1017.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.00843,86,0.7,1017.3,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.01039,86,0.7,1017.4,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.01406,86,0.7,1017.5,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.01777,86,0.7,1017.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.0252,86,0.7,1017.9,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.03509,86,0.7,1018.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.05013,86,0.7,1018.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.05962,86,0.7,1018.9,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,303.15,0.07685,86,0.7,1019.5,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0,86,0.7,1015.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.00254,86,0.7,1015.2,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.00494,86,0.7,1015.4,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.0061,86,0.7,1015.4,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.00843,86,0.7,1015.5,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.01039,86,0.7,1015.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.01406,86,0.7,1015.7,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.01777,86,0.7,1015.8,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.0252,86,0.7,1016.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.03509,86,0.7,1016.3,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.05013,86,0.7,1016.8,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.05962,86,0.7,1017.1,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
NwqXe,308.15,0.07685,86,0.7,1017.6,Naderi and Sadeghi (2019),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
