setid,"Temperature, K","MolaLity of 1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
atIpI,293.15,0,100,921.18,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.0291,100,925.71,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.04,100,927.43,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.0498,100,929.01,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.0789,100,933.84,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.12,100,940.33,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.1998,100,951.85,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.2491,100,958.89,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.2968,100,965.35,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.347,100,972.07,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.3862,100,977.25,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.4501,100,985.26,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,293.15,0.4999,100,991.37,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0,100,916.45,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.0291,100,920.97,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.04,100,922.69,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.0498,100,924.25,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.0789,100,929.1,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.12,100,935.57,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.1998,100,947.17,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.2491,100,954.15,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.2968,100,960.58,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.347,100,967.29,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
atIpI,298.15,0.3862,100,972.48,Liu et al. (2021b),Density,Liquid,ABflcH,COCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-(2-methoxyethyl)-2,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",AARRRo,COCC(C)O,1-methoxy-2-propanol,,,
