setid,"Temperature, K","MolaLity of N-acetyl-L-leucine, mol/kg","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lMgRb,288.15,0.03502,0.05,100,1002.5,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.0351,0.03,100,1001.5,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.03514,0.005,100,1000.4,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.03518,0.01,100,1000.7,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.03522,0,100,1000.1,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.04021,0.005,100,1000.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.04024,0.01,100,1000.8,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.04025,0,100,1000.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.04046,0.05,100,1002.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,288.15,0.04117,0.03,100,1001.7,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0,0,100,997,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0,0.005,100,997.3,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0,0.01,100,997.5,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0,0.03,100,998.4,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0,0.05,100,999.4,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00502,0,100,997.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00504,0.01,100,997.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00508,0.05,100,999.5,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.0051,0.03,100,998.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00512,0.005,100,997.4,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00801,0.01,100,997.7,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00804,0.005,100,997.5,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00805,0.05,100,999.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.00807,0,100,997.3,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.0081,0.03,100,998.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.01005,0.01,100,997.8,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.01044,0.005,100,997.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.01055,0.03,100,998.7,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.01103,0,100,997.3,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.01108,0.05,100,999.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02008,0.01,100,998,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02008,0.05,100,999.9,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02042,0,100,997.6,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02071,0.03,100,999,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02186,0.005,100,997.9,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02497,0,100,997.7,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02504,0.01,100,998.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02508,0.05,100,1000,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02511,0.03,100,999.1,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02512,0.005,100,997.9,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.02994,0,100,997.8,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03003,0.03,100,999.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03013,0.01,100,998.3,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03078,0.005,100,998.1,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03105,0.05,100,1000.1,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03502,0.05,100,1000.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.0351,0.03,100,999.3,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03514,0.005,100,998.2,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03518,0.01,100,998.4,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
lMgRb,298.15,0.03522,0,100,998,Kumar et al. (2021b),Density,Liquid,AAhQiT,CC(=O)N[C@@H](CC(C)C)C(=O)O,N-acetyl-L-leucine,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water
