setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZAeSu,308.15,0.0321,86,994.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,308.15,0.0372,86,994.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0,86,990.2,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0051,86,990.2,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0094,86,990.3,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0184,86,990.4,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.027,86,990.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0295,86,990.5,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0321,86,990.6,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
ZAeSu,318.15,0.0372,86,990.6,Shekaari et al. (2020a),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AADYJk,O,water,,,
