setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methyldiethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QiPVB,293.15,0.8806,0.0488,101,1197.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.0987,0.7994,101,1061.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.0989,0.623,101,1069.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.0991,0.4459,101,1079,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.0993,0.2681,101,1089.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.0995,0.0895,101,1098,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.1972,0.7097,101,1084.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.1978,0.5528,101,1093.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.1979,0.3957,101,1103.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.1982,0.2378,101,1116.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.1986,0.0794,101,1128.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.2954,0.6203,101,1104,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.2959,0.4832,101,1112.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.2963,0.3457,101,1123.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.2968,0.2077,101,1135.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.2972,0.0694,101,1147.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.3934,0.531,101,1121.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.3939,0.4136,101,1129.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.3944,0.2958,101,1139,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.395,0.1777,101,1149.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.3955,0.0593,101,1160.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.4912,0.442,101,1136.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.4917,0.3442,101,1144.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.4923,0.2461,101,1152.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.493,0.1478,101,1161,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.4934,0.0493,101,1169.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.5887,0.3532,101,1151,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.5893,0.275,101,1157,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.5898,0.1966,101,1163.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.5903,0.118,101,1170.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.5909,0.0394,101,1177.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.6861,0.2646,101,1163.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.6866,0.2059,101,1168.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.687,0.1472,101,1173,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.6874,0.0884,101,1178.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.6877,0.0295,101,1183.5,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.7831,0.1762,101,1175.8,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.7836,0.1371,101,1179,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.7839,0.0979,101,1182.3,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.7842,0.0588,101,1185.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.7845,0.0196,101,1188.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.8801,0.0879,101,1187.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.8804,0.0684,101,1188.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.8805,0.0294,101,1191.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.8806,0.0098,101,1193.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,303.15,0.8806,0.0488,101,1190.4,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.0987,0.7994,101,1054.1,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.0989,0.623,101,1061.7,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.0991,0.4459,101,1071.2,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
QiPVB,313.15,0.0993,0.2681,101,1081.9,Yin et al. (2017),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water
