setid,Mole fraction of methyl methacrylate,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jiaiD,0,283.15,1380.3,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,288.15,1376.1,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,293.15,1371.8,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,298.15,1367.5,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,303.15,1363.3,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,308.15,1359.2,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,313.15,1355.1,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,318.15,1351,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,323.15,1346.9,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,328.15,1342.8,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,333.15,1338.7,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,343.15,1330.6,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0,353.15,1322.5,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
jiaiD,0.0986,283.15,1360.7,Fan et al. (2009),Density,Liquid,Gas,,143,AATNsm,C=C(C)C(=O)OC,methyl methacrylate,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
