setid,"Temperature, K","MolaLity of 1,3-bis[3-methylimidazolium-1-yl]propane dibromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pFerP,293.15,0.03283,101,1002.88,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.03779,101,1003.57,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.04151,101,1004.09,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.05067,101,1005.39,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.0717,101,1008.31,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.08004,101,1009.45,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.10216,101,1012.52,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.11646,101,1014.5,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.1226,101,1015.31,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,293.15,0.13858,101,1017.4,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,298.15,0.03283,101,1001.69,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
pFerP,298.15,0.03779,101,1002.38,Kawadkar et al. (2017),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
