setid,Weight fraction of hexane,Weight fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DxUko,0,0,313.15,101,1459.2,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.006,313.15,101,1451.2,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.016,313.15,101,1438,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.033,313.15,101,1417.4,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.056,313.15,101,1390,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.087,313.15,101,1355.8,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.128,313.15,101,1312.1,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.174,313.15,101,1265.8,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.254,313.15,101,1194.3,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.372,313.15,101,1101.4,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,0.551,313.15,101,984.1,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0,1,313.15,101,772.8,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0.016,0.247,313.15,101,1184.9,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0.024,0.346,313.15,101,1097.3,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
DxUko,0.025,0.286,313.15,101,1143.3,Corderi et al. (2013),Density,Liquid,AAIsrh,CCO,ethanol,AAQdzy,CCCCCC,hexane,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
