setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mnHGc,298.15,0.0205,100,777.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.041,100,778.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.06,100,779.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.0809,100,780.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1002,100,781.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1197,100,782.8,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1374,100,783.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1544,100,784.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1788,100,785.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,298.15,0.1969,100,786.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.0205,100,772.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.041,100,773.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.06,100,774.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.0809,100,775.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1002,100,776.7,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1197,100,777.6,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1374,100,778.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1544,100,779.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1788,100,780.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,303.15,0.1969,100,781.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.0205,100,764.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.041,100,765.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.06,100,766.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.0809,100,767.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1002,100,768.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1197,100,769.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1374,100,770.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1544,100,771.2,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1788,100,772.4,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,308.15,0.1969,100,773.3,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
mnHGc,313.15,0.0205,100,756.5,Shekaari et al. (2015b),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
