setid,"Temperature, K","Solvent: MolaLity of 1-methyl-3-pentylimidazolium chloride, mol/kg","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UydIZ,298.15,0.03,0.1998,101,1003.7,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,298.15,0.03,0.2487,101,1004.9,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,298.15,0.03,0.2979,101,1006.1,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,298.15,0.03,0.3499,101,1007.4,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0,101,994.7,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.0999,101,997.3,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.1491,101,998.6,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.1998,101,999.8,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.2493,101,1001,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.2993,101,1002.2,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.01,0.3496,101,1003.3,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0,101,995.5,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.1,101,998.1,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.15,101,999.3,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.1998,101,1000.6,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.2487,101,1001.8,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.2979,101,1003,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
UydIZ,308.15,0.03,0.3499,101,1004.2,Gaba et al. (2017d),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAkOaH,CCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-pentylimidazolium chloride,AADYJk,O,water
