setid,"Temperature, K","MolaLity of L-ascorbic acid, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WTqoS,293.15,0.0999,0.1,100,1008.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.0999,0.15,100,1010.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.1001,0.05,100,1006.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.1016,0,100,1005.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.1199,0.15,100,1011.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.12,0.1,100,1009.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.1202,0.05,100,1008.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,293.15,0.1219,0,100,1006.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0,0,100,997.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0,0.05,100,999.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0,0.1,100,1001.6,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0,0.15,100,1004.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0201,0.05,100,1000.6,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0201,0.1,100,1002.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0201,0.15,100,1005.2,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0209,0,100,998.5,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0399,0.15,100,1006.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0401,0.05,100,1001.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0401,0.1,100,1004,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0405,0,100,999.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0599,0.1,100,1005.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0599,0.15,100,1007.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0601,0.05,100,1003.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0604,0,100,1001.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0799,0.1,100,1006.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0801,0.05,100,1004.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0801,0.15,100,1008.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0809,0,100,1002.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0999,0.1,100,1007.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.0999,0.15,100,1009.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.1001,0.05,100,1005.6,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.1016,0,100,1004.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.1199,0.15,100,1010.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.12,0.1,100,1008.5,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.1202,0.05,100,1006.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,298.15,0.1219,0,100,1005.5,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0,0,100,995.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0,0.05,100,997.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0,0.1,100,1000,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0,0.15,100,1002.2,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0201,0.05,100,999.2,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0201,0.1,100,1001.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0201,0.15,100,1003.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0209,0,100,997.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0399,0.15,100,1004.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0401,0.05,100,1000.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0401,0.1,100,1002.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0405,0,100,998.5,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0599,0.1,100,1003.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0599,0.15,100,1005.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0601,0.05,100,1001.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0604,0,100,999.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0799,0.1,100,1004.6,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0801,0.05,100,1002.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0801,0.15,100,1006.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0809,0,100,1001.2,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0999,0.1,100,1005.7,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.0999,0.15,100,1007.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.1001,0.05,100,1004.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.1016,0,100,1002.6,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.1199,0.15,100,1008.4,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.12,0.1,100,1006.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.1202,0.05,100,1005.3,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,303.15,0.1219,0,100,1004,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0,0,100,994,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0,0.05,100,996.5,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0,0.1,100,998.1,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0,0.15,100,1000.9,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0.0201,0.05,100,997.8,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
WTqoS,308.15,0.0201,0.1,100,999.2,Richu and Kumar (2021),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
