setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of L-proline, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Jwsud,293.15,0.02952,86,0.7,1020.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,293.15,0.03615,86,0.7,1020.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,293.15,0.06829,86,0.7,1021.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0,86,0.7,1018.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.00153,86,0.7,1018.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.00556,86,0.7,1018.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.00684,86,0.7,1018.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.00773,86,0.7,1018.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.00997,86,0.7,1018.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.01151,86,0.7,1018.8,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.01469,86,0.7,1018.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.02014,86,0.7,1019,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.02952,86,0.7,1019.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.03615,86,0.7,1019.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,298.15,0.06829,86,0.7,1020,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0,86,0.7,1016.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.00153,86,0.7,1016.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.00556,86,0.7,1017,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.00684,86,0.7,1017.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.00773,86,0.7,1017.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.00997,86,0.7,1017.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.01151,86,0.7,1017.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.01469,86,0.7,1017.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.02014,86,0.7,1017.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.02952,86,0.7,1017.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.03615,86,0.7,1017.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,303.15,0.06829,86,0.7,1018.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0,86,0.7,1015.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.00153,86,0.7,1015.1,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.00556,86,0.7,1015.2,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.00684,86,0.7,1015.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.00773,86,0.7,1015.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.00997,86,0.7,1015.3,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.01151,86,0.7,1015.4,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.01469,86,0.7,1015.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.02014,86,0.7,1015.6,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.02952,86,0.7,1015.7,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.03615,86,0.7,1015.9,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
Jwsud,308.15,0.06829,86,0.7,1016.5,Naderi and Sadeghi (2019),Density,Liquid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water
