setid,"Temperature, K",Solvent: Weight fraction of lithium chloride,"MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DvshM,293.15,0,0.0363,87,1000.9,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.0687,87,1003.1,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.1026,87,1005.3,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.1384,87,1007.6,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.1716,87,1009.6,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.2049,87,1011.7,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.2391,87,1013.7,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.2718,87,1015.7,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.3034,87,1017.5,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
DvshM,293.15,0,0.3375,87,1019.5,Rafiee and Frouzesh (2016a),Density,Liquid,AAIHRm,[Cl-].[Li+],lithium chloride,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate
