setid,"Temperature, K","MolaRity of sodium dodecyl sulfate, mol/dm3","Pressure, kPa","MolaRity of 2,6-bis(1,1-dimethylethyl)-4-methylphenol, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wwLuQ,303.15,0.008,101,0.02,786.607,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,303.15,0.01,101,0.02,787.268,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,303.15,0.012,101,0.02,787.369,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,303.15,0.014,101,0.02,786.387,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.002,101,0.02,780.879,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.004,101,0.02,781.249,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.006,101,0.02,781.404,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.008,101,0.02,782.656,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.01,101,0.02,782.742,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.012,101,0.02,782.617,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
wwLuQ,308.15,0.014,101,0.02,781.733,Bhardwaj et al. (2014),Density,Liquid,AAIsrh,CCO,ethanol,AAqTxv,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate
