setid,"MolaLity of D-mannitol, mol/kg","Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WEqRl,0.0121,298.15,0.001,101,997.9,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,298.15,0.003,101,998,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,298.15,0.005,101,998.1,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,308.15,0.001,101,994.9,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,308.15,0.003,101,995,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,308.15,0.005,101,995,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,318.15,0.001,101,991.1,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,318.15,0.003,101,991.1,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0121,318.15,0.005,101,991.2,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0241,298.15,0.003,101,998.7,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0241,308.15,0.003,101,995.7,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0241,318.15,0.003,101,991.8,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
WEqRl,0.0242,298.15,0.005,101,998.8,Roy et al. (2010),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjBAN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-mannitol,AADYJk,O,water
