setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KtPPO,293.15,0.03,100,1101.19,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.032,100,1101.24,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.034,100,1101.28,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.036,100,1101.33,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.038,100,1101.36,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.04,100,1101.39,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.042,100,1101.41,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.044,100,1101.43,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.046,100,1101.45,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.048,100,1101.46,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.05,100,1101.48,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,293.15,0.052,100,1101.49,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.03,100,1096.23,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.032,100,1096.27,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.034,100,1096.32,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.036,100,1096.35,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.038,100,1096.38,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.04,100,1096.42,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.042,100,1096.45,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.044,100,1096.47,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
KtPPO,298.15,0.046,100,1096.49,Chauhan et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
