setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of D-raffinose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wOHPm,293.15,0.1381,86,0.5,1085.84,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,293.15,0.1943,86,0.5,1086.45,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,293.15,0.2499,86,0.5,1087.06,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,293.15,0.2792,86,0.5,1087.37,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,293.15,0.3664,86,0.5,1088.27,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0,86,0.5,1082.34,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.01898,86,0.5,1082.69,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.02482,86,0.5,1082.79,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.0292,86,0.5,1082.88,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.03401,86,0.5,1082.95,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.03779,86,0.5,1083,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.04576,86,0.5,1083.08,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.0522,86,0.5,1083.16,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.0877,86,0.5,1083.53,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.1381,86,0.5,1084.09,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.1943,86,0.5,1084.66,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.2499,86,0.5,1085.22,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.2792,86,0.5,1085.51,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,298.15,0.3664,86,0.5,1086.34,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0,86,0.5,1080.54,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.01898,86,0.5,1080.86,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.02482,86,0.5,1080.96,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.0292,86,0.5,1081.04,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.03401,86,0.5,1081.11,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.03779,86,0.5,1081.16,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.04576,86,0.5,1081.23,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.0522,86,0.5,1081.31,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.0877,86,0.5,1081.64,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.1381,86,0.5,1082.17,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.1943,86,0.5,1082.69,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.2499,86,0.5,1083.21,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.2792,86,0.5,1083.48,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
wOHPm,303.15,0.3664,86,0.5,1084.26,Zamani et al. (2018),Density,Liquid,ABtAQO,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,D-raffinose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
