setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
epNuO,298.15,0.1031,101,998.29,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,0.3601,101,1001.17,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,0.54,101,1003.12,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,0.732,101,1005.14,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,0.922,101,1007.06,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,1.0244,101,1008.08,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,1.2087,101,1009.85,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,298.15,1.3605,101,1011.27,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,0.1031,101,996.88,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,0.3601,101,999.71,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,0.54,101,1001.62,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,0.732,101,1003.59,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,0.922,101,1005.47,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,1.0244,101,1006.45,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,1.2087,101,1008.18,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,303.15,1.3605,101,1009.56,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,0.1031,101,995.24,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,0.3601,101,998.01,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,0.54,101,999.89,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,0.732,101,1001.83,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,0.922,101,1003.7,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,1.0244,101,1004.69,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,1.2087,101,1006.43,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,308.15,1.3605,101,1007.82,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
epNuO,313.15,0.1031,101,993.3,Rafiee and Frouzesh (2015b),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
