setid,"Solvent: MolaLity of D-ribose, mol/kg","Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iOmuz,0,288.15,0.02656,100,1000.5,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,288.15,0.03817,100,1001.1,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,288.15,0.05185,100,1001.81,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,288.15,0.08181,100,1003.34,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,288.15,0.10127,100,1004.38,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,288.15,0.16542,100,1007.63,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.02656,100,998.366,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.03817,100,998.949,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.05185,100,999.636,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.08181,100,1001.12,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.10127,100,1002.1,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iOmuz,0,298.15,0.16542,100,1005.27,Singh et al. (2015c),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
