setid,"Temperature, K",Weight fraction of lithium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa",Solvent: Weight fraction of 1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZpoVx,278.15,0.1,101,0.5,1301.2,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,278.15,0.15,101,0.5,1323.1,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,278.15,0.2,101,0.5,1352.5,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,278.15,0.3,101,0.5,1408,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,278.15,0.35,101,0.5,1438.9,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,288.15,0.1,101,0.5,1291.2,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,288.15,0.15,101,0.5,1313.1,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,288.15,0.2,101,0.5,1342.6,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,288.15,0.3,101,0.5,1398,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
ZpoVx,288.15,0.35,101,0.5,1428.9,Garca-Garabal et al. (2022),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAPByN,CS(C)=O,dimethyl sulfoxide
