setid,"Solvent: MolaLity of D-(-)-arabinose, mol/kg","Temperature, K","MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FQuJP,0,288.15,0.02656,100,1000.5,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,288.15,0.03817,100,1001.1,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,288.15,0.05185,100,1001.81,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,288.15,0.08181,100,1003.34,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,288.15,0.10127,100,1004.38,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,288.15,0.16542,100,1007.63,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.02656,100,998.366,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.03817,100,998.949,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.05185,100,999.636,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.08181,100,1001.12,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.10127,100,1002.1,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,298.15,0.16542,100,1005.27,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.02656,100,995.334,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.03817,100,995.889,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.05185,100,996.552,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.08181,100,997.976,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.10127,100,998.898,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,308.15,0.16542,100,1001.92,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.02656,100,991.481,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.03817,100,992.024,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.05185,100,992.659,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.08181,100,994.044,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.10127,100,994.938,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0,318.15,0.16542,100,997.851,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.02533,100,1006.01,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.04706,100,1007.08,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.06797,100,1008.13,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.09437,100,1009.43,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.10947,100,1010.16,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,288.15,0.11132,100,1010.28,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.02533,100,1003.85,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.04706,100,1004.92,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.06797,100,1005.95,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.09437,100,1007.25,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.10947,100,1008,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
FQuJP,0.1,298.15,0.11132,100,1008.11,Singh et al. (2015c),Density,Liquid,AADYJk,O,water,AActeZ,O=C[C@@H](O)[C@H](O)[C@H](O)CO,D-(-)-arabinose,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
