setid,"Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DrRcn,298.15,0.1512,0.04998,101,0.89,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.1705,0.05,101,0.91,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.1847,0.05,101,0.91,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.1992,0.05,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.2401,0.04998,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.2707,0.04999,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.3017,0.04997,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.3402,0.05,101,0.89,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,298.15,0.385,0.04996,101,0.83,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.01002,0.05,101,0.76,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.02002,0.05,101,0.78,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.0299,0.04999,101,0.8,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.04014,0.05,101,0.82,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.05,0.04998,101,0.84,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.05941,0.05,101,0.85,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.07869,0.04999,101,0.86,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.09916,0.05,101,0.88,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1208,0.04989,101,0.9,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1388,0.05,101,0.9,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1512,0.04998,101,0.91,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1705,0.05,101,0.92,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1847,0.05,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.1992,0.05,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.2401,0.04998,101,0.949,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.2707,0.04999,101,0.95,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.3017,0.04997,101,0.957,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.3402,0.05,101,0.96,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,308.15,0.385,0.04996,101,0.95,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.01002,0.05,101,0.79,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.02002,0.05,101,0.81,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.0299,0.04999,101,0.83,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.04014,0.05,101,0.84,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.05,0.04998,101,0.85,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.05941,0.05,101,0.87,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.07869,0.04999,101,0.89,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.09916,0.05,101,0.9,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1208,0.04989,101,0.91,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1388,0.05,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1512,0.04998,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1705,0.05,101,0.933,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1847,0.05,101,0.937,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.1992,0.05,101,0.93,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.2401,0.04998,101,0.95,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.2707,0.04999,101,0.95,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.3017,0.04997,101,0.96,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.3402,0.05,101,0.96,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
DrRcn,318.15,0.385,0.04996,101,0.95,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
