setid,Weight fraction of ethanol,"Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
GRkxR,0.019,313.15,101,1.41801,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.035,313.15,101,1.4161,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.082,313.15,101,1.41105,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.133,313.15,101,1.40604,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.186,313.15,101,1.40101,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.267,313.15,101,1.39403,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,0.55,313.15,101,1.37499,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
