setid,Solvent: Weight fraction of trimethylbenzylammonium chloride,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
OFfqr,0.001,318.15,0.0251,100,1.329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,318.15,0.0402,100,1.3295,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,318.15,0.0554,100,1.3303,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,318.15,0.0705,100,1.3308,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.001,318.15,0.0858,100,1.3316,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.01,100,1.3314,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.0251,100,1.3321,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.0402,100,1.3327,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.0554,100,1.3334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.0705,100,1.334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,298.15,0.0858,100,1.3347,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.01,100,1.3311,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.0251,100,1.3318,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.0402,100,1.3324,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.0554,100,1.3331,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.0705,100,1.3337,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,303.15,0.0858,100,1.3343,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.01,100,1.3307,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.0251,100,1.3315,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.0402,100,1.3322,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.0554,100,1.3328,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.0705,100,1.3334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,308.15,0.0858,100,1.334,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.01,100,1.3284,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.0251,100,1.329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.0402,100,1.3298,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.0554,100,1.3303,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.0705,100,1.331,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,313.15,0.0858,100,1.3317,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.01,100,1.3279,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.0251,100,1.3287,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.0402,100,1.3294,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.0554,100,1.33,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.0705,100,1.3308,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.003,318.15,0.0858,100,1.3313,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.01,100,1.3317,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.0251,100,1.3323,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.0402,100,1.3329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.0554,100,1.3335,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.0705,100,1.3342,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,298.15,0.0858,100,1.3348,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.01,100,1.3314,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.0251,100,1.332,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.0402,100,1.3326,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.0554,100,1.3332,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.0705,100,1.3339,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,303.15,0.0858,100,1.3344,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.01,100,1.3311,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.0251,100,1.3317,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.0402,100,1.3323,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.0554,100,1.3329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.0705,100,1.3335,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,308.15,0.0858,100,1.3342,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.01,100,1.3266,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.0251,100,1.327,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.0402,100,1.3276,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.0554,100,1.3282,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.0705,100,1.3288,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,313.15,0.0858,100,1.3294,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.01,100,1.3262,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.0251,100,1.3267,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.0402,100,1.3272,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.0554,100,1.3278,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.0705,100,1.3283,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
OFfqr,0.005,318.15,0.0858,100,1.329,Rajbanshi et al. (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water,
