setid,"Temperature, K","MolaRity of 1-methyl-3-tetradecylimidazolium bromide, mol/dm3","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
ZALiF,293.15,0.00026,101,1.33306,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00079,101,1.33309,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00132,101,1.33312,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00184,101,1.33315,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00237,101,1.33319,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00289,101,1.33321,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00342,101,1.33323,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00395,101,1.33325,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,293.15,0.00447,101,1.33327,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
ZALiF,298.15,0.00026,101,1.33256,Kaur et al. (2023),Refractive index,Liquid,ABRFaF,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-tetradecylimidazolium bromide,AADYJk,O,water,,,,
