setid,"Temperature, K","MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
PXxlz,298.15,0.0554,0.003,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0554,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0707,0.001,100,1.3269,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0707,0.003,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0707,0.005,100,1.3273,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0859,0.001,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0859,0.003,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,298.15,0.0859,0.005,100,1.3274,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.01,0.001,100,1.3266,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.01,0.003,100,1.3269,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.01,0.005,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0251,0.001,100,1.3267,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0251,0.003,100,1.3269,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0251,0.005,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0403,0.001,100,1.3268,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0403,0.003,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0403,0.005,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0554,0.001,100,1.3269,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0554,0.003,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0554,0.005,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0707,0.001,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0707,0.003,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0707,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0859,0.001,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0859,0.003,100,1.3273,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,303.15,0.0859,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.01,0.001,100,1.3267,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.01,0.003,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.01,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0251,0.001,100,1.3268,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0251,0.003,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0251,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0403,0.001,100,1.3269,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0403,0.003,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0403,0.005,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0554,0.001,100,1.327,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0554,0.003,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0554,0.005,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0707,0.001,100,1.3271,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0707,0.003,100,1.3273,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0707,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0859,0.001,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0859,0.003,100,1.3274,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
PXxlz,308.15,0.0859,0.005,100,1.3272,Mallick et al. (2023),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,
