setid,"Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","MolaLity of L-valine, mol/kg","Temperature, K","Pressure, kPa",Refractive index (Na D-line),reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
Wykim,0.001,0.0055,303.15,101,1.3327,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.0055,308.15,101,1.3324,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.007,298.15,101,1.3335,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.007,303.15,101,1.333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.007,308.15,101,1.3327,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.0085,298.15,101,1.3338,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.0085,303.15,101,1.3334,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.001,0.0085,308.15,101,1.333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.001,298.15,101,1.332,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.001,303.15,101,1.3319,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.001,308.15,101,1.3316,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0025,298.15,101,1.3323,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0025,303.15,101,1.3323,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0025,308.15,101,1.332,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.004,298.15,101,1.3327,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.004,303.15,101,1.3326,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.004,308.15,101,1.3324,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0055,298.15,101,1.333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0055,303.15,101,1.3329,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0055,308.15,101,1.3327,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.007,298.15,101,1.3333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.007,303.15,101,1.3332,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.007,308.15,101,1.3329,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0085,298.15,101,1.3335,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0085,303.15,101,1.3335,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.003,0.0085,308.15,101,1.3332,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.001,298.15,101,1.3326,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.001,303.15,101,1.3322,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.001,308.15,101,1.3319,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0025,298.15,101,1.3329,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0025,303.15,101,1.3326,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0025,308.15,101,1.3323,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.004,298.15,101,1.3332,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.004,303.15,101,1.333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.004,308.15,101,1.3327,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0055,298.15,101,1.3335,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0055,303.15,101,1.3333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0055,308.15,101,1.333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.007,298.15,101,1.3338,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.007,303.15,101,1.3336,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.007,308.15,101,1.3333,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0085,298.15,101,1.334,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0085,303.15,101,1.3338,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
Wykim,0.005,0.0085,308.15,101,1.3336,Ghosh et al. (2022),Refractive index,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water,
